,,day_minute_A,day_minute_A,times_listened_A,times_listened_A,day_minute_B,day_minute_B,times_listened_B,times_listened_B
,,mean,std,mean,std,mean,std,mean,std
weekday,before_noon,,,,,,,,
Fri,False,16:23:44,145.56896668727362,33.17046379170057,35.5778942474786,16:01:06,169.8037275260967,65.34150144798396,70.98646644112266
Fri,True,07:53:50,103.01067418477786,37.39781368821293,36.26348621806857,09:16:58,110.4946092422362,66.1549088771311,72.26713221551059
Mon,False,15:42:01,140.32867596453937,30.170302334481438,36.31284864648874,16:07:21,156.56751410319396,69.35534139840065,74.0668988458124
Mon,True,08:06:33,117.06939048957946,31.479184367034833,37.59985419238431,08:43:02,123.68334323784694,61.13906536778201,68.80774719929236
Sat,False,16:28:36,162.00115655468176,26.305555555555557,36.44601098677045,16:23:36,179.3473095288567,62.46261925411969,70.66680916207683
Sat,True,09:14:17,99.36675319001093,31.763440860215052,34.915027669281024,09:42:01,124.83512351257332,56.87113991612657,64.4200450078585
Sun,False,16:51:33,138.08570496308943,31.020174848688633,35.6528743964423,16:33:56,169.16560632819022,69.62545072115384,87.82627415844372
Sun,True,09:51:37,108.89032956746944,36.003778337531486,39.29243336674616,10:24:01,75.16885381986998,80.00726282342261,94.38321187013223
Thu,False,16:06:17,147.27972554884974,33.711711711711715,35.87770840988099,15:57:46,162.04871367953103,66.58968756827616,74.16553136360446
Thu,True,08:14:52,117.66574693806159,36.17316966242876,37.01276805530085,09:17:45,109.89336416110218,60.90380184331797,68.35346255488676
Tue,False,16:30:05,156.11182660104012,26.61554404145078,34.84804163375208,16:04:46,153.65812501762994,66.46633972358448,71.65257962903274
Tue,True,08:08:43,119.65934651616965,32.7306105610561,36.76110588348053,08:31:02,126.43082888227586,63.62569343065694,69.66708087526592
Wed,False,15:52:02,146.82867785412358,30.464436505358883,35.33598070094988,15:57:15,161.7185189152527,65.89218947126965,70.6159936980801
Wed,True,08:06:04,116.90087624895209,34.73812238692512,36.68106590000734,09:12:20,113.91241085911686,66.13413368904699,70.85953335362353
